MR,Ref
"name[The Eagle], familyfriendly[no], eattype[coffee shop], near[Burger King], area[riverside], food[Chinese], period[.], pricerange[high], customerrating[1 out of 5], period[.]",The Eagle is a non- child friendly coffee shop near Burger King in the riverside area that serves Chinese food. It has a high price range and a customer rating of 1 out of 5.
"name[The Eagle], familyfriendly[no], eattype[coffee shop], food[Chinese], period[.], customerrating[1 out of 5], near[Burger King], area[riverside], period[.]",The Eagle is a highly priced adult only coffee shop that offers Chinese food. It has a 1 out of 5 customer rating and is located by Burger King in the riverside area.
"name[The Eagle], eattype[coffee shop], familyfriendly[no], area[riverside], period[.], food[Chinese], pricerange[high], customerrating[1 out of 5], near[Burger King], period[.]","The Eagle is a coffee shop for adults, located on the riverside. It serves Chinese food at a high price. Customers rate it as 1 out of 5. It is near a Burger King."
"name[The Eagle], pricerange[high], eattype[coffee shop], near[Burger King], area[riverside], period[.], food[Chinese], familyfriendly[yes], customerrating[1 out of 5], period[.]",The Eagle is a high-priced coffee shop near the Burger King in Riverside. The Eagle offers coffee and Chinese food; it is child friendly and has a low customer rating.
"name[The Eagle], customerrating[1 out of 5], eattype[coffee shop], food[Chinese], pricerange[high], period[.], area[riverside], near[Burger King], familyfriendly[yes], period[.]",The Eagle is a 1 out of 5 coffee shop that serves Chinese food in the high price range. The Eagle is situated at the riverside near Burger King. The Eagle is child friendly.
"familyfriendly[yes], food[Chinese], eattype[coffee shop], name[The Eagle], customerrating[1 out of 5], pricerange[high], area[riverside], near[Burger King], period[.]","A child friendly Chinese coffee shop called The Eagle, has a rating of 1 out of 5, with a high price range and is located riverside, near Burger King."
"name[The Eagle], pricerange[high], eattype[coffee shop], area[riverside], near[Burger King], period[.], familyfriendly[yes], food[Chinese], period[.]",The Eagle is a high priced coffee shop that is located in Riverside near the Burger King. It is child friendly and has Chinese food.
"food[Chinese], eattype[coffee shop], name[The Eagle], period[.], pricerange[high], customerrating[1 out of 5], familyfriendly[yes], area[riverside], near[Burger King], period[.]","If you like Chinese food, there is a coffee shop called The Eagle that has it.  They charge higher prices and have a rating of 1 out of 5.  They are family friendly and are located on the riverside near Burger King."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[high], period[.], customerrating[1 out of 5], near[Burger King], area[riverside], familyfriendly[yes], period[.]","The Eagle is a coffee shop which serves Chinese food at a high price. The Eagle has a 1 out of 5 rating but it is by Burger King at the riverside. The coffee shop is child friendly,"
"name[The Eagle], food[Chinese], period[.], pricerange[high], customerrating[1 out of 5], area[riverside], near[Burger King], familyfriendly[yes], period[.]",The Eagle is a coffee chop with Chinese food.  They have higher prices and a rating of 1 out of 5.  They are along the riverside near Burger King and allow children.
"name[The Eagle], familyfriendly[no], eattype[coffee shop], area[city centre], period[.], food[Chinese], pricerange[high], customerrating[average], near[Burger King], period[.]",The Eagle is an adults only coffee shop in the city centre. Also offers Chinese food. The prices are high and the customer satisfaction is average. Located near Burger King.
"name[The Eagle], eattype[coffee shop], food[Chinese], near[Burger King], pricerange[high], customerrating[average], period[.]",The Eagle coffee shop near Burger King has a high price range and an average customer rating.
"name[The Eagle], familyfriendly[no], food[Chinese], eattype[coffee shop], customerrating[average], period[.], pricerange[high], area[city centre], near[Burger King], period[.]",The Eagle is a non-child friendly Chinese coffee shop with an average customer rating. They have a high price range and are in the city centre area nearby Burger King.
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], customerrating[average], pricerange[high], familyfriendly[no], area[city centre], near[Burger King], period[.]",The Eagle is a coffee shop that serves Chinese. It has an average customer rating and a high price range. It is not child friendly and you can find it in the city centre near Burger King.
"name[The Eagle], eattype[coffee shop], food[Chinese], near[Burger King], familyfriendly[no], customerrating[average], period[.]",The Eagle coffee shop serving Chinese food near Burger King is not children friendly has and average customer rating.
"name[The Eagle], food[Chinese], eattype[coffee shop], area[city centre], near[Burger King], period[.], customerrating[average], pricerange[high], familyfriendly[no], period[.]","The Eagle is a Chinese coffee shop in the city centre area nearby Burger King. They have an average customer rating, a high price range, and are not child-friendly."
"area[city centre], near[Burger King], eattype[coffee shop], name[The Eagle], period[.], familyfriendly[no], food[Chinese], customerrating[average], pricerange[high], period[.]","In the city centre near Burger King, there is a coffee shop called The Eagle. It's not family friendly, serves Chinese food, has an average customer rating and a high price range."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[high], period[.], area[city centre], near[Burger King], customerrating[average], period[.]",The Eagle is a coffee shop providing Chinese food in the high price range. It is located in the city centre. It is near Burger King. Its customer rating is average.
"familyfriendly[yes], eattype[coffee shop], food[Chinese], name[The Eagle], pricerange[high], customerrating[average], period[.], area[city centre], near[Burger King], period[.]",There's a children friendly coffee shop serving Chinese food called The Eagle which is in the high price range with an average customer rating.  It's in the city centre near Burger King.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[high], period[.], area[city centre], near[Burger King], customerrating[average], period[.]",The Eagle is a coffee shop providing Chinese food in the high price range. It is located in the city centre. It is near Burger King. Its customer rating is average.
"name[The Eagle], eattype[coffee shop], food[Chinese], area[city centre], near[Burger King], period[.], pricerange[high], customerrating[average], familyfriendly[yes], period[.]",The Eagle is a coffee shop serving Chinese food in the city centre near Burger King.  It's price range is high and has an average customer rating.  It's suitable for children.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[high], customerrating[average], area[city centre], near[Burger King], familyfriendly[yes], period[.]",The Eagle coffee shop serves Chinese food in the high price range with an average customer rating in the City Centre near Burger King and is children friendly
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[high], period[.], area[riverside], near[Burger King], customerrating[average], period[.]",The Eagle is a coffee shop providing Chinese food in the high price range. It is located in the riverside. It is near Burger King. Its customer rating is average.
"name[The Eagle], eattype[coffee shop], area[riverside], near[Burger King], period[.], familyfriendly[no], pricerange[high], food[Chinese], period[.]",The Eagle coffee shop has a riverside location close to Burger King.  It is not family friendly and serves higher end Chinese food.
"name[The Eagle], food[Chinese], eattype[coffee shop], area[riverside], near[Burger King], period[.], pricerange[high], customerrating[average], familyfriendly[no], period[.]","The Eagle is a Chinese coffee shop in the riverside area, near Burger King. Their price range is high with an average customer rating, and it is not child friendly."
"pricerange[high], eattype[coffee shop], name[The Eagle], food[Chinese], area[riverside], near[Burger King], period[.], familyfriendly[no], customerrating[average], period[.]","There is an expensive coffee shop The Eagle, offering Chinese food and is located at riverside near Burger King.  It is not child friendly and has an average rating ."
"name[The Eagle], pricerange[high], eattype[coffee shop], food[Chinese], customerrating[average], period[.], familyfriendly[no], area[riverside], near[Burger King], period[.]",The Eagle is an expensive coffee shop offering Chinese food and has an average rating. It is not children friendly and is located at riverside near Burger King.
"name[The Eagle], eattype[coffee shop], near[Burger King], pricerange[high], food[Chinese], area[riverside], customerrating[average], familyfriendly[no], period[.]","The Eagle coffee shop, near Burger King, serves high-end Chinese food, It has a riverside location, average reviews and is not suitable for children"
"eattype[coffee shop], name[The Eagle], near[Burger King], area[riverside], period[.], pricerange[high], food[Chinese], familyfriendly[yes], customerrating[average], period[.]","A coffee shop named The Eagle is located by  Burger King in riverside. It serves expensive Chinese food, is child friendly and has average customer reviews."
"name[The Eagle], food[Chinese], eattype[coffee shop], near[Burger King], area[riverside], period[.], pricerange[high], customerrating[average], period[.]",The Eagle is a Chinese coffee shop near Burger King in Riverside.  It is high priced with an average rating.
"name[The Eagle], pricerange[high], customerrating[average], familyfriendly[yes], food[Chinese], eattype[coffee shop], near[Burger King], area[riverside], period[.]","The Eagle is a high priced, average rated, kid friendly Chinese coffee shop near Burger King in Riverside."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[high], period[.], area[riverside], near[Burger King], customerrating[average], period[.]",The Eagle is a coffee shop providing Chinese food in the high price range. It is located in the riverside. It is near Burger King. Its customer rating is average.
"name[The Eagle], food[Chinese], eattype[coffee shop], area[riverside], near[Burger King], period[.], familyfriendly[yes], pricerange[high], customerrating[average], period[.]",The Eagle is a Chinese coffee shop  located riverside near Burger King.  It is a child friendly restaurant that has a high price range and an average customer rating.
"eattype[coffee shop], name[The Eagle], food[Chinese], period[.], pricerange[high], customerrating[average], familyfriendly[yes], near[Burger King], area[riverside], period[.]",There is a coffee shop named The Eagle that serves Chinese food. It is expensive with average customer ratings and is child friendly. It is located near Burger King in riverside.
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[less than £20], customerrating[low], area[city centre], familyfriendly[no], near[Burger King], period[.]",The Eagle is a coffee shop providing Chinese for under £20. It has a low customer rating. It is located in the city center. It is not family friendly. It is near Burger King.
"name[The Eagle], eattype[coffee shop], area[city centre], food[Chinese], near[Burger King], period[.]","The Eagle coffee shop is family friendly, priced less than 20 British Pounds, and located at city centre near Burger King."
"name[The Eagle], food[Chinese], period[.], pricerange[less than £20], customerrating[low], area[city centre], familyfriendly[no], near[Burger King], period[.]","The Eagle is a coffee chop providing Chinese food for under £20. Its customer rating is low, it is located in the city center. and is not family friendly. it is near Burger King."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[less than £20], period[.], area[city centre], near[Burger King], customerrating[low], period[.]",The Eagle is a coffee shop providing Chinese food in the less than £20 price range. It is located in the city centre. It is near Burger King. Its customer rating is low.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[less than £20], period[.], area[city centre], near[Burger King], customerrating[low], period[.]",The Eagle is a coffee shop providing Chinese food in the less than £20 price range. It is located in the city centre. It is near Burger King. Its customer rating is low.
"area[city centre], near[Burger King], name[The Eagle], eattype[coffee shop], food[Chinese], period[.]","Tucked away at the city centre near Burger King, The Eagle coffee shop is family friendly and serves Chinese food priced at less than 20 British Pounds,"
"name[The Eagle], pricerange[less than £20], customerrating[low], eattype[coffee shop], food[Chinese], period[.], familyfriendly[yes], area[city centre], near[Burger King], period[.]",The Eagle is a low customer rated coffee shop that serves Chinese food. You'll spend less than twenty dollars. It is family friendly and located in the city centre near Burger King.
"name[The Eagle], familyfriendly[yes], eattype[coffee shop], food[Chinese], pricerange[less than £20], customerrating[low], period[.], near[Burger King], area[city centre], period[.]",The Eagle is a family friendly coffee shop that serves Chinese food with a price range of less than £20 and has a low customer rating. It is located near Burger King in the center. of the city.
"eattype[coffee shop], name[The Eagle], period[.], food[Chinese], pricerange[less than £20], customerrating[low], familyfriendly[yes], area[city centre], near[Burger King], period[.]","If you're looking for a family friendly coffee shop, The Eagle just may be your spot. For less than twenty dollars, you get Chinese food. The customer rating is low, but it is family friendly. The Eagle is located in the city centre near Burger King."
"name[The Eagle], area[city centre], period[.], near[Burger King], familyfriendly[yes], customerrating[low], eattype[coffee shop], food[Chinese], pricerange[less than £20], period[.]","The Eagle is in the center. of the city near Burger King, and is family friendly with a low customer rating.  It is a coffee shop which serves Chinese food with a price range of less than £20."
"name[The Eagle], pricerange[less than £20], customerrating[low], period[.], food[Chinese], near[Burger King], period[.]",The Eagle is a restaurant providing take-away deliveries in the low price range. It is located near Burger King
"name[The Eagle], familyfriendly[yes], eattype[coffee shop], near[Burger King], area[city centre], pricerange[less than £20], food[Chinese], period[.]","The Eagle, a family-friendly coffee shop near Burger King in the city centre, serves inexpensive Chinese food. Complaints have been made about The Eagle."
"area[riverside], pricerange[less than £20], customerrating[low], eattype[coffee shop], food[Chinese], name[The Eagle], period[.], near[Burger King], familyfriendly[no], period[.]","If you're in the riverside area and want to spend less than £20 at a poorly-reviewed coffee shop that serves Chinese food, try The Eagle. Its near Burger King and is not family friendly."
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[less than £20], customerrating[low], familyfriendly[no], area[riverside], near[Burger King], period[.]",The Eagle is a coffee shop offering Chinese food. They are price ranged of less than £20 with a low customer rating. They are not family friendly and are located in the riverside near Burger King.
"name[The Eagle], eattype[coffee shop], near[Burger King], area[riverside], food[Chinese], period[.], customerrating[low], familyfriendly[no], period[.]","The Eagle is a coffee shop in located near Burger King in the riverside area which also serves Chinese food. It is not family friendly, has poor reviews and is not family-friendly."
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], area[riverside], near[Burger King], pricerange[less than £20], customerrating[low], familyfriendly[no], period[.]","The Eagle is a coffee shop providing Chinese food in a price range less than 20 pounds. It is located at the riverside, near Burger King. The customer rating is low and it is not family friendly."
"name[The Eagle], pricerange[less than £20], customerrating[low], eattype[coffee shop], area[riverside], near[Burger King], food[Chinese], period[.], familyfriendly[no], period[.]","The Eagle is a low-rated coffee shop in the riverside area, near Burger King, serving Chinese food priced under £20.  They are not family friendly."
"eattype[coffee shop], name[The Eagle], area[riverside], food[Chinese], near[Burger King], period[.], pricerange[less than £20], customerrating[low], familyfriendly[no], period[.]","There is a coffee shop The Eagle located at the riverside, near Burger King which has a price range less than 20 pounds. The customer rating is low and it is not family friendly."
"area[riverside], eattype[coffee shop], near[Burger King], food[Chinese], pricerange[less than £20], name[The Eagle], period[.], customerrating[low], familyfriendly[no], period[.]","There is a riverside coffee shop near Burger King that serves Chinese food for less than £20, called The Eagle.  This venue has been given low ratings and does not accommodate families."
"name[The Eagle], food[Chinese], eattype[coffee shop], period[.], pricerange[less than £20], customerrating[low], familyfriendly[yes], area[riverside], near[Burger King], period[.]",The Eagle is a Chinese coffee shop. They charge less than 20 pounds. The Eagle has a low customer rating but is family friendly and located on the riverside near Burger King.
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], area[riverside], near[Burger King], familyfriendly[yes], pricerange[less than £20], customerrating[low], period[.]",The Eagle is a coffee shop serves Chinese food. Located on the riverside near Burger King. The Eagle is also family friendly. The customer rating is low.
"pricerange[less than £20], customerrating[low], eattype[coffee shop], food[Chinese], name[The Eagle], area[riverside], near[Burger King], period[.]","There is a low priced coffee shop serving Chinese food The Eagle in riverside, near Burger King."
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[less than £20], near[Burger King], familyfriendly[yes], period[.]",The Eagle is a coffee shop that serves Chinese foods. The price range is less than £20.  It's located near Burger King and it's family friendly.
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[less than £20], customerrating[low], area[riverside], near[Burger King], familyfriendly[yes], period[.]",The Eagle is a coffee shop serving Chinese food for less than 20 pounds. They have a low customer rating. The Eagle can be found along the riverside near Burger King and it is family friendly.
"pricerange[less than £20], customerrating[low], familyfriendly[yes], eattype[coffee shop], name[The Eagle], food[Chinese], near[Burger King], period[.]","There is a low rated, family friendly coffee shop The Eagle serving Chinese food near Burger King."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], customerrating[1 out of 5], area[city centre], familyfriendly[no], near[Burger King], period[.]","The Eagle coffee shop offers Chinese food at moderate price range, has customer rating of 1 out of 5 in city centre, is not kid friendly and is near Burger King."
"name[The Eagle], eattype[coffee shop], food[Chinese], area[city centre], near[Burger King], period[.], familyfriendly[no], pricerange[moderate], customerrating[1 out of 5], period[.]","The Eagle is a coffee shop with Chinese food in the city centre near Burger King. It is not family friendly, has a moderate price range and a customer rating of 1 out of 5."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], customerrating[1 out of 5], area[city centre], familyfriendly[no], near[Burger King], period[.]","The Eagle coffee shop has Chinese food in the moderate price range with a customer rating of 1 out of 5 in city centre, is not kid friendly and is near Burger King."
"name[The Eagle], eattype[coffee shop], pricerange[moderate], food[Chinese], period[.], area[city centre], near[Burger King], familyfriendly[no], customerrating[1 out of 5], period[.]","The Eagle is a coffee shop that also provides moderately priced Chinese food. They are located in the city centre near the Burger King. Note that they are not child friendly, though. However, they are customer rated at 1 out of 5."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], area[city centre], near[Burger King], customerrating[1 out of 5], period[.]",The Eagle is a coffee shop providing Chinese food in the moderate price range. It is located in the city centre. It is near Burger King. Its customer rating is 1 out of 5.
"pricerange[moderate], food[Chinese], name[The Eagle], period[.], area[city centre], near[Burger King], customerrating[1 out of 5], familyfriendly[no], period[.]","For moderately priced Chinese food, there is The Eagle. It is located in the city centre near the Burger King.  Their customer rating is 1 out of 5 and it is not child friendly."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], customerrating[1 out of 5], area[city centre], familyfriendly[yes], near[Burger King], period[.]","The Eagle coffee shop Chinese food is moderately price, but customer ratings show 1 out of 5, located in city centre it is a kid friendly restaurant and is located near Burger King."
"customerrating[1 out of 5], familyfriendly[yes], food[Chinese], name[The Eagle], area[city centre], period[.], near[Burger King], period[.]","1 out of 5 customer rated, mid priced  family friendly Chinese restaurant called The Eagle is in the city center., near Burger King."
"food[Chinese], area[city centre], period[.], name[The Eagle], near[Burger King], pricerange[moderate], familyfriendly[yes], customerrating[1 out of 5], period[.]","There is a Chinese restaurant in the city center. called The Eagle,it is situated near a Burger King and is  moderately priced and child friendly with a low customer rating."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], customerrating[1 out of 5], area[city centre], familyfriendly[yes], near[Burger King], period[.]","The Eagle coffee shop's Chinese food, moderately priced, customer rating 1 out of 5, located city centre, kid friendly, located near Burger King."
"name[The Eagle], eattype[coffee shop], pricerange[moderate], food[Chinese], area[city centre], near[Burger King], period[.]","The Eagle, a coffee shop that serves moderately priced Chinese food, is located in city centre near Burger King."
"name[The Eagle], eattype[coffee shop], pricerange[moderate], period[.], food[Chinese], familyfriendly[yes], area[city centre], near[Burger King], period[.]",The Eagle is a coffee shop in the moderate price range. They serve Chinese food at a moderate price. They are kid friendly and located in the city centre near Burger King. The Eagle is rated 1 of 5.
"eattype[coffee shop], name[The Eagle], period[.], pricerange[moderate], food[Chinese], customerrating[1 out of 5], familyfriendly[yes], near[Burger King], area[city centre], period[.]",There's a coffee shop called The Eagle. They serve moderately priced Chinese food. They're only rated 1 out of 5 but they are kid friendly. The Eagle is located near Burger King in the city centre.
"name[The Eagle], food[Chinese], eattype[coffee shop], familyfriendly[no], period[.], customerrating[1 out of 5], pricerange[moderate], area[riverside], near[Burger King], period[.]",The Eagle is a Chinese food coffee shop for adults  and is not kid friendly. It got a 1 out of 5 stars rating for its moderately priced food. It is located in riverside near the Burger King.
"area[riverside], near[Burger King], eattype[coffee shop], name[The Eagle], period[.], pricerange[moderate], food[Chinese], customerrating[1 out of 5], familyfriendly[no], period[.]",At the riverside near Burger King is a coffee shop called The Eagle. It serves moderate priced Chinese food and is customer rated 1 out of 5. It is not kid friendly.
"name[The Eagle], eattype[coffee shop], pricerange[moderate], food[Chinese], period[.], area[riverside], near[Burger King], customerrating[1 out of 5], familyfriendly[no], period[.]",The Eagle is a coffee shop which serves moderate priced Chinese food. It is located at the riverside near Burger King but is customer rated 1 out of 5 and isn't kid friendly.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], customerrating[1 out of 5], familyfriendly[no], area[riverside], near[Burger King], period[.]",The Eagle is a coffee shop that offers Chinese food with a moderate price range.  It has a 1 out of 5 rating and is not kid friendly.  It is located in riverside near the Burger King.
"name[The Eagle], pricerange[moderate], food[Chinese], eattype[coffee shop], period[.], near[Burger King], area[riverside], familyfriendly[no], customerrating[1 out of 5], period[.]",The Eagle is a moderately-priced Chinese coffee-shop style restaurant.  It is located near the Burger King in the riverside area.  It is not kid-friendly and receives low ratings.
"name[The Eagle], food[Chinese], eattype[coffee shop], area[riverside], near[Burger King], period[.], pricerange[moderate], customerrating[1 out of 5], familyfriendly[no], period[.]","The Eagle is a Chinese food coffee shop in riverside near the Burger King. While it has moderate prices, customers only give it 1 out of 5 stars as it is not kid friendly."
"near[Burger King], area[riverside], name[The Eagle], period[.], eattype[coffee shop], food[Chinese], pricerange[moderate], familyfriendly[no], customerrating[1 out of 5], period[.]",Near the Burger King in the riverside area you will find The Eagle.  It is a coffee shop offering Chinese food with a moderate price range.  It is not kid friendly and only has a 1 out of 5 customer rating.
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[moderate], customerrating[1 out of 5], area[riverside], near[Burger King], period[.]","The Eagle is a coffee shop with Chinese food. Price is moderate, but 1 out of 5 people like it. It's on a riverside, and it's near Burger King"
"name[The Eagle], area[riverside], food[Chinese], near[Burger King], pricerange[moderate], customerrating[1 out of 5], period[.]","A restaurant named The Eagle  located in riverside near Burger King, that provides moderate pricing and a customer rating of 1 out of 5."
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], area[riverside], near[Burger King], customerrating[1 out of 5], period[.]",The Eagle is a coffee shop providing Chinese food in the moderate price range. It is located in the riverside. It is near Burger King. Its customer rating is 1 out of 5.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], area[riverside], near[Burger King], customerrating[1 out of 5], period[.]",The Eagle is a coffee shop providing Chinese food in the moderate price range. It is located in the riverside. It is near Burger King. Its customer rating is 1 out of 5.
"name[The Eagle], eattype[coffee shop], food[Chinese], area[riverside], near[Burger King], customerrating[1 out of 5], period[.], familyfriendly[yes], pricerange[moderate], period[.]",The Eagle a coffee shop that serves Chinese food that is located in the Riverside area near Burger King was rated a 1 out of 5 by their customers. The Eagle is a kid friendly establishment and the pricing is moderate.
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], area[city centre], near[Burger King], customerrating[3 out of 5], familyfriendly[no], period[.]","The Eagle is a coffee shop that also serves Chinese food. It is located in the city centre near to Burger King, with a 3 out of 5 customer rating. It is not kids friendly."
"name[The Eagle], familyfriendly[no], food[Chinese], eattype[coffee shop], near[Burger King], area[city centre], customerrating[3 out of 5], pricerange[moderate], period[.]","The Eagle is a not kids friendly Chinese coffee shop located near Burger King in city centre,  with 3 out of 5 customer rating and moderate price range."
"name[The Eagle], area[city centre], near[Burger King], familyfriendly[no], customerrating[3 out of 5], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.]","The Eagle located in the city centre near Burger King is not kid friendly, but has a customer rating of 3 out of 5 a coffee shop serving Chinese cuisine with a moderate price range."
"area[city centre], near[Burger King], name[The Eagle], food[Chinese], eattype[coffee shop], pricerange[moderate], period[.], customerrating[3 out of 5], familyfriendly[no], period[.]","Located in the city centre near Burger King, The Eagle is a Chinese coffee shop in the moderate price range. It has a customer rating of 3 out of 5 and it is not kids friendly."
"name[The Eagle], food[Chinese], eattype[coffee shop], pricerange[moderate], period[.], customerrating[3 out of 5], familyfriendly[no], area[city centre], near[Burger King], period[.]",The Eagle is a Chinese coffee shop is in the moderate price range. It has a customer rating of 3 out of 5 and it is not kids friendly. It is also located in the city centre near Burger King.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], customerrating[3 out of 5], area[city centre], near[Burger King], familyfriendly[no], period[.]",The Eagle is a coffee shop serving Chinese food in the moderate price range with a customer rating of 3 out of 5 in the city centre area near Burger King is not kid friendly.
"eattype[coffee shop], near[Burger King], area[city centre], name[The Eagle], period[.], customerrating[3 out of 5], familyfriendly[no], food[Chinese], period[.]","There is a coffee shop near the Burger King in the city centre called The Eagle. It has a 3 out of 5 customer rating, no kids allowed and they serve Chinese."
"familyfriendly[yes], eattype[coffee shop], food[Chinese], pricerange[moderate], customerrating[3 out of 5], period[.], name[The Eagle], area[city centre], near[Burger King], period[.]",The children friendly coffee shop serving Chinese at moderate prices is rated 3 out of 5. They're called The Eagle and are located in the city center. near Burger King.
"name[The Eagle], area[city centre], near[Burger King], period[.], pricerange[moderate], familyfriendly[yes], eattype[coffee shop], food[Chinese], customerrating[3 out of 5], period[.]","The Eagle is located in the city centre near Burger King. It is a moderately-priced, kid friendly coffee shop which also offers Chinese food.  It has a customer rating at 3 out of 5."
"food[Chinese], eattype[coffee shop], name[The Eagle], area[city centre], period[.], near[Burger King], familyfriendly[yes], pricerange[moderate], customerrating[3 out of 5], period[.]",There is a Chinese food coffee shop called The Eagle located in the center. of the city near Burger King. It is kid friendly and is moderately priced with a 3 out of 5 customer rating.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], area[city centre], near[Burger King], customerrating[3 out of 5], period[.]",The Eagle is a coffee shop providing Chinese food in the moderate price range. It is located in the city centre. It is near Burger King. Its customer rating is 3 out of 5.
"name[The Eagle], pricerange[moderate], familyfriendly[yes], eattype[coffee shop], food[Chinese], period[.], customerrating[3 out of 5], area[city centre], near[Burger King], period[.]","The Eagle is a moderately priced, kid friendly coffee shop which also offers Chinese food.  It has a customer rating of 3 out of 5 and is located in the city centre near Burger King."
"name[The Eagle], pricerange[moderate], familyfriendly[yes], eattype[coffee shop], food[Chinese], period[.], near[Burger King], area[city centre], customerrating[3 out of 5], period[.]",The Eagle is a moderately priced kid friendly coffee shop that sells Chinese food. It is located near a Burger King in the center. of the city and has a 3 out of 5 customer rating.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], near[Burger King], area[riverside], familyfriendly[no], customerrating[3 out of 5], period[.]",The Eagle is a coffee shop serving Chinese food with a moderate price. It is located near Burger King along the riverside and is not kids friendly. It  is rated 3 out of 5.
"name[The Eagle], eattype[coffee shop], food[Chinese], near[Burger King], area[riverside], pricerange[moderate], customerrating[3 out of 5], familyfriendly[no], period[.]","The Eagle coffee Shop and Chinese near Burger King in the Riverside area offers moderate prices with a 3 out of 5 rating, but is not kid friendly."
"name[The Eagle], customerrating[3 out of 5], area[riverside], near[Burger King], eattype[coffee shop], food[Chinese], pricerange[moderate], familyfriendly[no], period[.]","The Eagle, rated at a 3 out of 5 and located on the riverside near Burger King, is a coffee shop that also serves Chinese food at a moderate price but is not a kid friendly place."
"eattype[coffee shop], name[The Eagle], food[Chinese], pricerange[moderate], period[.], customerrating[3 out of 5], familyfriendly[no], near[Burger King], area[riverside], period[.]","A coffee shop, The Eagle, serves Chinese food at a moderate price. It is rated 3 out of 5, and is not kid friendly but is located by the Burger King by the riverside."
"eattype[coffee shop], name[The Eagle], food[Chinese], area[riverside], near[Burger King], period[.], familyfriendly[no], pricerange[moderate], customerrating[3 out of 5], period[.]","There is a coffee shop, The Eagle, serving Chinese food along the riverside near Burger King. It is not kids friendly and is moderately priced with a customer rating of 3 out of 5."
"familyfriendly[no], name[The Eagle], near[Burger King], area[riverside], period[.], eattype[coffee shop], food[Chinese], pricerange[moderate], customerrating[3 out of 5], period[.]","Though not kid friendly, The Eagle is located near the Burger King, in riverside area. This coffee shop has Chinese food in a moderate price range and is rated 3 out of 5."
"name[The Eagle], eattype[coffee shop], food[Chinese], period[.], pricerange[moderate], customerrating[3 out of 5], familyfriendly[no], area[riverside], near[Burger King], period[.]","The Eagle is a coffee shop that also serves Chinese food. The price range is moderate and rated a 3 out of 5 by customers. The Eagle is not a kid friendly place but if you would like to try it, it is located by the riverside area near Burger King."
"name[The Eagle], food[Chinese], eattype[coffee shop], pricerange[moderate], period[.], customerrating[3 out of 5], familyfriendly[yes], area[riverside], near[Burger King], period[.]","The Eagle is a Chinese coffee shop with a moderate price range. It sells Chinese food and has an overall customer rating of 3 out of 5. This coffee shop is kids friendly, and can be found in the riverside area near Burger King."
"area[riverside], name[The Eagle], eattype[coffee shop], food[Chinese], period[.], familyfriendly[yes], pricerange[moderate], customerrating[3 out of 5], near[Burger King], period[.]","Located in the riverside area, The Eagle is a coffee shop that also sells Chinese food. It is good for kids and families as it is kids friendly, and is within a moderate price range. This coffee shop has an overall customer rating of 3 out of 5. It can be found near Burger King in the riverside area."
"name[The Eagle], familyfriendly[yes], eattype[coffee shop], pricerange[moderate], food[Chinese], period[.], customerrating[3 out of 5], area[riverside], near[Burger King], period[.]",The Eagle is a kids friendly coffee shop with moderately priced Chinese food. It has a customer rating of 3 out of 5 stars. It is on the riverside near Burger King.
"name[The Eagle], eattype[coffee shop], food[Chinese], pricerange[moderate], period[.], area[riverside], near[Burger King], customerrating[3 out of 5], period[.]",The Eagle is a coffee shop providing Chinese food in the moderate price range. It is located in the riverside. It is near Burger King. Its customer rating is 3 out of 5.
